Order_ID,Customer_name,Gender,Age,Meal,Residence_in_busy_location,Google_maps_accuracy,Cuisine,Item,Good_road_condition,Delivered_temperature,Location,Subscription,Subscription Cost,Mode,Quantity_size,Freshness,Food_quality,Customer Placed Order time,Order Accepted by Restaurant time,Driver at Restaurant Datetime,Delivered to Consumer Datetime,Wait Time in minutes,Meal Price,Order Quantity,delivery fee,Delivery fee,Total Price,Service Fee,Tax,Final Price,Number of Claims,Complain Resolved,Complaints Resolved,Number of Open Complaints,Amount of Refund for resolved complaint
98308,Margaret Wibbens,Female,21,Dinner,No,No,Italian,Risotto,Yes,Hot,Urban,Free,0.0,Car,Small,High,Good,2023-01-21 12:27:43,2023-01-21 12:29:45,2023-01-21 12:37:39,2023-01-21 12:52:09,24,22.07,1,,4.99,22.07,2.4277,3.20015,32.687850000000005,7,3,5,2,126.35074999999999
65541,Peter Delacruz,Male,46,Lunch,Yes,No,Thai,Spring Roll,No,Cold,Subarban,Free,0.0,Car,Large,High,Good,2023-01-02 06:23:20,2023-01-02 06:26:09,2023-01-02 06:33:55,2023-01-02 06:44:27,21,4.49,2,,3.99,8.98,0.9878,1.3021,15.2599,11,12,8,3,41.1284
98309,Beau Valentine,Male,20,Dinner,Yes,Yes,Indian,Butter Chicken,Yes,Cold,Urban,Monthly Basic,4.99,Bike,Medium,Low,Bad,2023-01-23 07:00:30,2023-01-23 07:04:07,2023-01-23 07:14:26,2023-01-23 07:27:49,27,13.32,4,2.99,,53.28,5.8608,7.7256,,5,12,3,2,45.7542
65545,Sherill Galindo,Female,24,Breakfast,No,Yes,Italian,Gelato,Yes,Cold,Urban,Free,0.0,Car,Large,High,Good,2023-01-07 12:19:13,2023-01-07 12:23:19,2023-01-07 12:32:09,2023-01-07 12:43:18,24,2.23,1,,5.99,2.23,0.2453,0.32334999999999997,8.78865,17,10,13,4,33.19355
65548,Jane Cottrell,Female,39,Dinner,Yes,No,Italian,Risotto,Yes,Cold,Subarban,Free,0.0,Bike,Large,Low,Bad,2023-01-23 01:41:16,2023-01-23 01:44:17,2023-01-23 01:55:12,2023-01-23 02:10:18,29,10.06,4,,5.99,40.24,4.4264,5.8347999999999995,56.491200000000006,8,12,8,0,92.1496
98321,Donna Washington,Female,19,Lunch,No,Yes,Italian,Prosecco,Yes,Room,Urban,Premium,101.9,Car,Large,Low,Bad,2023-01-04 03:47:17,2023-01-04 03:52:27,2023-01-04 04:03:23,2023-01-04 04:16:29,29,29.09,4,0.0,,116.36,12.7996,16.8722,,18,18,16,2,532.9288
65559,John Erwin,Male,36,Dinner,No,No,Italian,Risotto,Yes,Hot,Urban,Free,0.0,Car,Medium,High,Good,2023-01-26 17:23:56,2023-01-26 17:28:54,2023-01-26 17:39:00,2023-01-26 17:49:31,25,11.8,1,,4.99,11.8,1.298,1.711,19.799,11,17,7,4,94.57700000000001
65560,Anthony Washington,Male,41,Lunch,No,Yes,Thai,Pad Thai,Yes,Room,Subarban,Basic,50.9,Car,Small,High,Good,2023-01-21 05:06:53,2023-01-21 05:09:31,2023-01-21 05:18:18,2023-01-21 05:29:35,22,8.85,4,0.99,,35.4,3.8939999999999997,5.132999999999999,,18,3,13,5,131.73225
65561,Lynnette Brewer,Female,28,Lunch,No,No,Indian,Palak Paneer,No,Cold,Urban,Monthly Premium,9.99,Bike,Medium,Low,Bad,2023-01-25 01:13:53,2023-01-25 01:16:36,2023-01-25 01:25:25,2023-01-25 01:36:38,22,14.71,1,0.0,,14.71,1.6181,2.13295,,7,2,5,2,84.21475000000001
65568,Michelle Cirillo,Female,21,Dinner,No,No,Italian,Pizza,Yes,Cold,Urban,Free,0.0,Bike,Small,Low,Bad,2023-01-01 11:21:08,2023-01-01 11:25:53,2023-01-01 11:36:35,2023-01-01 11:48:37,27,23.42,5,,3.99,117.10000000000001,12.881,16.9795,150.9505,2,5,1,1,26.815900000000003
